block,block_id,calc_type,date,district,district_id,division,domain,indicator,indicator_id,perc_point,quarter,type,year
Bhabni,dOCMMkuHb5N,p,2019-10-01,Sonbhadra,NNk3JP90QZ5,Mirzapur Division,JSY,% JSY Incentive,indicator_36,0.7291666666666666,3,JSY,2020
Etawah Basrehar,JBG7yZn3ZhD,p,2019-10-01,Etawah,Pm0jLk6EAiE,Kanpur Nagar Division,JSY,% JSY Incentive,indicator_36,0.9376947040498442,3,JSY,2020
Bilgram,TqhQTNCu0rW,p,2019-10-01,Hardoi,MTIkUw5q5pX,Lucknow Division,JSY,% JSY Incentive,indicator_36,1.246844319775596,3,JSY,2020
Lalitpur Madawara,DQg8KWOYf9m,p,2019-10-01,Lalitpur,fagfcadhxej,Jhansi Division,JSY,% JSY Incentive,indicator_36,0.8414814814814815,3,JSY,2020
Jalaun Dakor,V41lCBcSsRJ,p,2019-10-01,Jalaun,NL5xiiHZQSC,Jhansi Division,JSY,% JSY Incentive,indicator_36,1.024590163934426,3,JSY,2020
Kushinagar Tamkuhi,CApqqM6FvRV,p,2019-10-01,Kushinagar,xUeHwd9FQkg,Gorakhpur Division,JSY,% JSY Incentive,indicator_36,0.307475317348378,3,JSY,2020
Sahabad,NvR1ROHQCYV,p,2019-10-01,Hardoi,MTIkUw5q5pX,Lucknow Division,JSY,% JSY Incentive,indicator_36,1.118673647469459,3,JSY,2020
Kanpur Dehat Sandalpur,Bc5VrfyFJO4,p,2019-10-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,JSY,% JSY Incentive,indicator_36,0.9357798165137616,3,JSY,2020
Hadhermau,tob7bPRXBV3,p,2019-10-01,Gonda,y8WarEkWCul,Gonda Division,JSY,% JSY Incentive,indicator_36,0.475609756097561,3,JSY,2020
Kushinagar Khadda,OHnlTAIgKxY,p,2019-10-01,Kushinagar,xUeHwd9FQkg,Gorakhpur Division,JSY,% JSY Incentive,indicator_36,0.0,3,JSY,2020
Lalitpur Birdha,ilEX3iUSCkP,p,2019-10-01,Lalitpur,fagfcadhxej,Jhansi Division,JSY,% JSY Incentive,indicator_36,0.8599640933572711,3,JSY,2020
Siddhaur,IdkC83lgdBj,p,2019-10-01,Barabanki,tzH6nJu9SwS,Ayodhya Division,JSY,% JSY Incentive,indicator_36,1.099009900990099,3,JSY,2020
Chhanve,T5YmZQx2cme,p,2019-10-01,Mirzapur,UAicdMLyuk4,Mirzapur Division,JSY,% JSY Incentive,indicator_36,0.9296875,3,JSY,2020
Agra DHQ,CUTzCqh1nRn,p,2019-10-01,Agra,N5WWbRtsjWp,Agra Division,JSY,% JSY Incentive,indicator_36,0.08001099807533682,3,JSY,2020
Azamgarh Maharajganj,Wyo5sWkkK3V,p,2019-10-01,Azamgarh,NjckKfm3g0k,Azamgarh Division,JSY,% JSY Incentive,indicator_36,0.5249042145593871,3,JSY,2020
Behander,VoR9CT9z1Rx,p,2019-10-01,Hardoi,MTIkUw5q5pX,Lucknow Division,JSY,% JSY Incentive,indicator_36,0.9057971014492754,3,JSY,2020
Rae Bareli Uchahar,tv4Qque6scf,p,2019-10-01,Rae Bareli,lLvTDpBDY8u,Lucknow Division,JSY,% JSY Incentive,indicator_36,0.918032786885246,3,JSY,2020
