,index,date,district_id,indicator_id,perc_point,district,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type
102,44,202503,iE0E3nLioFr,indicator_2,68.90906436819236,Bahraich,180,Gonda Division,182,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
103,58,202503,AcnMkNGgc3S,indicator_2,54.52057302309489,Maharajganj,187,Gorakhpur Division,188,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
104,46,202503,uS0pNSxN3sS,indicator_2,55.405287755829356,Balrampur,182,Gonda Division,182,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
105,62,202503,y8WarEkWCul,indicator_2,61.76833808946601,Gonda,183,Gonda Division,182,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
106,15,202503,DggJGxqbWHn,indicator_2,59.19314259912783,Banda,170,Chitrakoot Division,170,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
107,74,202503,i2fSZZ3QAJJ,indicator_2,74.6327484299805,Chitrakoot,171,Chitrakoot Division,170,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
108,35,202503,VSI7HobT5qL,indicator_2,63.05612029379789,Hamirpur,168,Chitrakoot Division,170,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
109,21,202503,oyTwneTbWDx,indicator_2,66.86136662297493,Shrawasti,181,Gonda Division,182,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
110,25,202503,J1P16zQEOUT,indicator_2,51.339676848352255,Basti,185,Basti Division,185,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
111,55,202503,fe1yBApr2sl,indicator_2,52.48958470036099,Sant Kabir Nagar,186,Basti Division,185,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
112,37,202503,cP0p8qfm3il,indicator_2,39.99270577155076,Siddharth Nagar,184,Basti Division,185,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
113,34,202503,sUQMxIc3yXj,indicator_2,57.8331709608665,Mahoba,169,Chitrakoot Division,170,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
114,54,202503,eA37kyBRRuZ,indicator_2,64.83198069172221,Budaun,149,Bareilly Division,150,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
115,20,202503,vVqY3DPcpHf,indicator_2,62.93269843712809,Bareilly,150,Bareilly Division,150,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
116,53,202503,NjckKfm3g0k,indicator_2,75.40253148688997,Azamgarh,191,Azamgarh Division,193,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
