,block_id,perc_point,date,indicator_id,uid_district,district,block,0,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type,indicator_index,type_index,domain_index
61,J2ufTjaikuE,100.0,202503,indicator_10,ClbehnmwSec,Chandauli,Sakaldiha,50,766.0,Varanasi Division,195,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p,1.0,0.6538703739238642,1.0
62,J2ufTjaikuE,21.402412607096966,202503,indicator_8,ClbehnmwSec,Chandauli,Sakaldiha,50,766.0,Varanasi Division,195,coverage,family_planning,indicator_8,Permanent Method accepted per 1000 EC,p,0.11583934939891438,0.6538703739238642,0.09728103338143797
63,J2ufTjaikuE,40.26776110575387,202503,indicator_9,ClbehnmwSec,Chandauli,Sakaldiha,50,766.0,Varanasi Division,195,coverage,family_planning,indicator_9,Reversible Method accepted per 1000 EC,p,0.07872271736396155,0.6538703739238642,0.09728103338143797
64,J2ufTjaikuE,4802.931003094847,202503,indicator_11,ClbehnmwSec,Chandauli,Sakaldiha,50,766.0,Varanasi Division,195,coverage,finance,indicator_11,Per ASHA expenditure of ASHA incentive fund,p,0.3804056289341828,0.6538703739238642,0.3804056289341828
65,kqqVceYxMn2,100.0,202503,indicator_1,ClbehnmwSec,Chandauli,Chandauli (Urban),29,,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0,0.49021727423493144,1.0
66,kqqVceYxMn2,100.0,202503,indicator_2,ClbehnmwSec,Chandauli,Chandauli (Urban),29,,Varanasi Division,195,quality,ante_natal,indicator_2,% of pregnant women tested for Hb for 4 or more times against estimated PW,p,1.0,0.6695224994604175,1.0
67,kqqVceYxMn2,98.01150945907689,202503,indicator_3,ClbehnmwSec,Chandauli,Chandauli (Urban),29,,Varanasi Division,195,coverage,delivery_care,indicator_3,% of pregnant women delivered in institution against estimated delivery,p,0.9781165952144524,0.49021727423493144,0.9689769898342807
68,kqqVceYxMn2,4.556123153389479,202503,indicator_4,ClbehnmwSec,Chandauli,Chandauli (Urban),29,,Varanasi Division,195,quality,delivery_care,indicator_4,Still birth ratio,n,0.9212441569199818,0.6695224994604175,0.9689769898342807
69,kqqVceYxMn2,127.64133631578943,202503,indicator_13,ClbehnmwSec,Chandauli,Chandauli (Urban),29,,Varanasi Division,195,availability,delivery_care,indicator_13,Est Delivery load as per available Delivery Point,n,0.9872960391269198,0.6588490690675628,0.9689769898342807
70,kqqVceYxMn2,110.23569954545451,202503,indicator_14,ClbehnmwSec,Chandauli,Chandauli (Urban),29,,Varanasi Division,195,availability,delivery_care,indicator_14,Est Delivery load as per available SBA trained staff Nurse / ANM,n,0.9892511680757687,0.6588490690675628,0.9689769898342807
71,kqqVceYxMn2,9.926825900869805,202503,indicator_5,ClbehnmwSec,Chandauli,Chandauli (Urban),29,,Varanasi Division,195,coverage,post_natal_care,indicator_5,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),p,0.09926825900869804,0.49021727423493144,0.09926825900869804
72,kqqVceYxMn2,67.09219042328627,202503,indicator_7,ClbehnmwSec,Chandauli,Chandauli (Urban),29,,Varanasi Division,195,coverage,immunization,indicator_7,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",p,0.6604690023295584,0.49021727423493144,0.37389617189541446
73,kqqVceYxMn2,0.4558890061830795,202503,indicator_6,ClbehnmwSec,Chandauli,Chandauli (Urban),29,,Varanasi Division,195,quality,immunization,indicator_6,Ratio of Pentavalent 3 to BCG,p,0.08732334146127058,0.6695224994604175,0.37389617189541446
74,kqqVceYxMn2,75.6667010054298,202503,indicator_10,ClbehnmwSec,Chandauli,Chandauli (Urban),29,,Varanasi Division,195,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p,0.7131624408807886,0.49021727423493144,0.7131624408807886
75,kqqVceYxMn2,9.595140525757676,202503,indicator_8,ClbehnmwSec,Chandauli,Chandauli (Urban),29,,Varanasi Division,195,coverage,family_planning,indicator_8,Permanent Method accepted per 1000 EC,p,0.051933156149244535,0.49021727423493144,0.04515813375588561
76,kqqVceYxMn2,19.718013780432024,202503,indicator_9,ClbehnmwSec,Chandauli,Chandauli (Urban),29,,Varanasi Division,195,coverage,family_planning,indicator_9,Reversible Method accepted per 1000 EC,p,0.03838311136252668,0.49021727423493144,0.04515813375588561
77,kqqVceYxMn2,4802.931003094847,202503,indicator_11,ClbehnmwSec,Chandauli,Chandauli (Urban),29,,Varanasi Division,195,coverage,finance,indicator_11,Per ASHA expenditure of ASHA incentive fund,p,0.3804056289341828,0.49021727423493144,0.3804056289341828
78,kneJKc3fNtp,95.45732353853724,202503,indicator_1,ClbehnmwSec,Chandauli,Barhani,49,769.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.9420238038130847,0.6615633029037663,0.941450235199039
79,kneJKc3fNtp,95.3993828262225,202503,indicator_2,ClbehnmwSec,Chandauli,Barhani,49,769.0,Varanasi Division,195,quality,ante_natal,indicator_2,% of pregnant women tested for Hb for 4 or more times against estimated PW,p,0.9408766665849934,0.6627915226587259,0.941450235199039
80,kneJKc3fNtp,75.15301139448913,202503,indicator_3,ClbehnmwSec,Chandauli,Barhani,49,769.0,Varanasi Division,195,coverage,delivery_care,indicator_3,% of pregnant women delivered in institution against estimated delivery,p,0.7265580609179731,0.6615633029037663,0.8897064170552534
81,kneJKc3fNtp,8.529512111907199,202503,indicator_4,ClbehnmwSec,Chandauli,Barhani,49,769.0,Varanasi Division,195,quality,delivery_care,indicator_4,Still birth ratio,n,0.8525612906370328,0.6627915226587259,0.8897064170552534
82,kneJKc3fNtp,147.5691997857143,202503,indicator_13,ClbehnmwSec,Chandauli,Barhani,49,769.0,Varanasi Division,195,availability,delivery_care,indicator_13,Est Delivery load as per available Delivery Point,n,0.9847216648556801,0.8433682226192855,0.8897064170552534
83,kneJKc3fNtp,52.9735588974359,202503,indicator_14,ClbehnmwSec,Chandauli,Barhani,49,769.0,Varanasi Division,195,availability,delivery_care,indicator_14,Est Delivery load as per available SBA trained staff Nurse / ANM,n,0.9949846518103277,0.8433682226192855,0.8897064170552534
84,kneJKc3fNtp,100.0,202503,indicator_5,ClbehnmwSec,Chandauli,Barhani,49,769.0,Varanasi Division,195,coverage,post_natal_care,indicator_5,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),p,1.0,0.6615633029037663,1.0
85,kneJKc3fNtp,93.71729151335069,202503,indicator_7,ClbehnmwSec,Chandauli,Barhani,49,769.0,Varanasi Division,195,coverage,immunization,indicator_7,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",p,0.9351772631486822,0.6615633029037663,0.5650569369514168
86,kneJKc3fNtp,0.9826732673267327,202503,indicator_6,ClbehnmwSec,Chandauli,Barhani,49,769.0,Varanasi Division,195,quality,immunization,indicator_6,Ratio of Pentavalent 3 to BCG,p,0.19493661075415136,0.6627915226587259,0.5650569369514168
87,kneJKc3fNtp,100.0,202503,indicator_10,ClbehnmwSec,Chandauli,Barhani,49,769.0,Varanasi Division,195,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p,1.0,0.6615633029037663,1.0
88,kneJKc3fNtp,21.462099479273636,202503,indicator_8,ClbehnmwSec,Chandauli,Barhani,49,769.0,Varanasi Division,195,coverage,family_planning,indicator_8,Permanent Method accepted per 1000 EC,p,0.11616240122337594,0.6615633029037663,0.1541708332081038
89,kneJKc3fNtp,98.06464167527758,202503,indicator_9,ClbehnmwSec,Chandauli,Barhani,49,769.0,Varanasi Division,195,coverage,family_planning,indicator_9,Reversible Method accepted per 1000 EC,p,0.19217926519283163,0.6615633029037663,0.1541708332081038
90,kneJKc3fNtp,4802.931003094847,202503,indicator_11,ClbehnmwSec,Chandauli,Barhani,49,769.0,Varanasi Division,195,coverage,finance,indicator_11,Per ASHA expenditure of ASHA incentive fund,p,0.3804056289341828,0.6615633029037663,0.3804056289341828
91,P0KHYXl7qFF,95.87838732634886,202503,indicator_1,ClbehnmwSec,Chandauli,Chahniya,42,764.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.9473976570858118,0.672682486493923,0.9472150470080353
92,P0KHYXl7qFF,95.87838732634886,202503,indicator_2,ClbehnmwSec,Chandauli,Chahniya,42,764.0,Varanasi Division,195,quality,ante_natal,indicator_2,% of pregnant women tested for Hb for 4 or more times against estimated PW,p,0.9470324369302587,0.7129384158689325,0.9472150470080353
93,P0KHYXl7qFF,71.33436257253811,202503,indicator_3,ClbehnmwSec,Chandauli,Chahniya,42,764.0,Varanasi Division,195,coverage,delivery_care,indicator_3,% of pregnant women delivered in institution against estimated delivery,p,0.6845337031527028,0.672682486493923,0.9102403187554211
94,P0KHYXl7qFF,0.2963841138114997,202503,indicator_4,ClbehnmwSec,Chandauli,Chahniya,42,764.0,Varanasi Division,195,quality,delivery_care,indicator_4,Still birth ratio,n,0.9948767888898298,0.7129384158689325,0.9102403187554211
95,P0KHYXl7qFF,261.5847084799999,202503,indicator_13,ClbehnmwSec,Chandauli,Chahniya,42,764.0,Varanasi Division,195,availability,delivery_care,indicator_13,Est Delivery load as per available Delivery Point,n,0.9699926101053878,0.8161589147260502,0.9102403187554211
96,P0KHYXl7qFF,87.19490282666663,202503,indicator_14,ClbehnmwSec,Chandauli,Chahniya,42,764.0,Varanasi Division,195,availability,delivery_care,indicator_14,Est Delivery load as per available SBA trained staff Nurse / ANM,n,0.9915581728737639,0.8161589147260502,0.9102403187554211
97,P0KHYXl7qFF,100.0,202503,indicator_5,ClbehnmwSec,Chandauli,Chahniya,42,764.0,Varanasi Division,195,coverage,post_natal_care,indicator_5,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),p,1.0,0.672682486493923,1.0
98,P0KHYXl7qFF,95.97105329677508,202503,indicator_7,ClbehnmwSec,Chandauli,Chahniya,42,764.0,Varanasi Division,195,coverage,immunization,indicator_7,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",p,0.9584307703459247,0.672682486493923,0.5776683960663168
99,P0KHYXl7qFF,0.9923138510808647,202503,indicator_6,ClbehnmwSec,Chandauli,Chahniya,42,764.0,Varanasi Division,195,quality,immunization,indicator_6,Ratio of Pentavalent 3 to BCG,p,0.1969060217867089,0.7129384158689325,0.5776683960663168
100,P0KHYXl7qFF,100.0,202503,indicator_10,ClbehnmwSec,Chandauli,Chahniya,42,764.0,Varanasi Division,195,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p,1.0,0.672682486493923,1.0
101,P0KHYXl7qFF,21.261221779831192,202503,indicator_8,ClbehnmwSec,Chandauli,Chahniya,42,764.0,Varanasi Division,195,coverage,family_planning,indicator_8,Permanent Method accepted per 1000 EC,p,0.11507516202098586,0.672682486493923,0.20534606621638118
102,P0KHYXl7qFF,150.75773704375578,202503,indicator_9,ClbehnmwSec,Chandauli,Chahniya,42,764.0,Varanasi Division,195,coverage,family_planning,indicator_9,Reversible Method accepted per 1000 EC,p,0.2956169704117765,0.672682486493923,0.20534606621638118
