,index,district_id,perc_point,date,indicator_id,district,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type
114,41,cP0p8qfm3il,47.42613704158532,202503,indicator_2,Siddharth Nagar,184,Basti Division,185,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
115,6,DggJGxqbWHn,58.9149170255766,202503,indicator_2,Banda,170,Chitrakoot Division,170,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
116,53,i2fSZZ3QAJJ,72.4768482978819,202503,indicator_2,Chitrakoot,171,Chitrakoot Division,170,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
117,31,VSI7HobT5qL,62.70516042709716,202503,indicator_2,Hamirpur,168,Chitrakoot Division,170,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
118,64,sUQMxIc3yXj,55.79950070567753,202503,indicator_2,Mahoba,169,Chitrakoot Division,170,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
119,69,uS0pNSxN3sS,62.468166609210485,202503,indicator_2,Balrampur,182,Gonda Division,182,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
120,74,y8WarEkWCul,65.65500717222646,202503,indicator_2,Gonda,183,Gonda Division,182,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
121,63,oyTwneTbWDx,76.90154284537194,202503,indicator_2,Shrawasti,181,Gonda Division,182,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
122,29,Tf9b9qcbghH,63.28732468071087,202503,indicator_2,Deoria,190,Gorakhpur Division,188,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
123,71,vR85cHdsw1w,60.184028312441654,202503,indicator_2,Gorakhpur,188,Gorakhpur Division,188,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
124,73,xUeHwd9FQkg,61.38914848089626,202503,indicator_2,Kushinagar,189,Gorakhpur Division,188,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
125,0,AcnMkNGgc3S,60.07134582443234,202503,indicator_2,Maharajganj,187,Gorakhpur Division,188,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
