,block_id,perc_point,date,indicator_id,uid_district,district,block,0,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type,indicator_index
68,o9uEgq78lMK,100.0,202503,indicator_1,hgquAmZaNBu,Amroha,Amroha,56,57.0,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
69,bkkdTIrC9mc,98.26267702457152,202503,indicator_1,hgquAmZaNBu,Amroha,Gangeshwari,43,61.0,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.9778273054403166
70,KocU1z4MS42,96.63230868616141,202503,indicator_1,hgquAmZaNBu,Amroha,Dhanaura,42,56.0,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.9570196262127797
71,F4PpXNqeUpP,100.0,202503,indicator_1,hgquAmZaNBu,Amroha,Gajraula,41,59.0,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
72,rWNzTUgiIT6,100.0,202503,indicator_1,hgquAmZaNBu,Amroha,Hasanpur,45,60.0,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
73,ouPBHlLzBAu,91.59757391376708,202503,indicator_1,hgquAmZaNBu,Amroha,Joya,62,58.0,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.8927635046532385
74,Ygt5E2MGGWd,21.64583466605551,202503,indicator_1,hgquAmZaNBu,Amroha,Amroha (Urban),4,,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.0
75,R2Jott0TJjX,91.98203684112516,202503,indicator_1,uCYjHW7FuGG,Bijnor,Haldaur(Khari Jhalu),46,29.0,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.8976702371252074
76,wwaYoRwSd1k,100.0,202503,indicator_1,uCYjHW7FuGG,Bijnor,Afzalgarh,47,31.0,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
77,hFYPDvQ1x7I,96.44544672114412,202503,indicator_1,uCYjHW7FuGG,Bijnor,Allahpur,50,33.0,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.9546347885437052
78,rzAzyO3UWpL,99.83935217382178,202503,indicator_1,uCYjHW7FuGG,Bijnor,Kiratpur,38,27.0,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.9979497219389226
79,shhTmT0DeTX,100.0,202503,indicator_1,uCYjHW7FuGG,Bijnor,Mohammedpur Deomal,58,28.0,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
80,j5nQ6oNNVnX,95.96891239325906,202503,indicator_1,uCYjHW7FuGG,Bijnor,Kotwali,73,30.0,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.9485529889883901
81,c6v4wYwFFOK,92.80214820824868,202503,indicator_1,uCYjHW7FuGG,Bijnor,Najibabad,73,26.0,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.908136960414623
82,rAeHXnn5JSw,97.99351074698095,202503,indicator_1,uCYjHW7FuGG,Bijnor,Nehtaur,41,32.0,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.9743920537667982
83,aHuzZgGIslk,100.0,202503,indicator_1,uCYjHW7FuGG,Bijnor,Noorpur,56,36.0,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
84,X5WeRBwPtNl,100.0,202503,indicator_1,uCYjHW7FuGG,Bijnor,Budhanpur Seohara,33,34.0,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
85,EdO6OYkMy4n,100.0,202503,indicator_1,uCYjHW7FuGG,Bijnor,Jalilpur,54,35.0,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
86,pE27TXbzXZ5,100.0,202503,indicator_1,uCYjHW7FuGG,Bijnor,Bijnor  (Urban)  ,17,,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
87,obGw4WWLMlw,100.0,202503,indicator_1,FKYZ3JbWq84,Saharanpur,Rampur Maniharan,28,8.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
88,Il5dY2TsnrT,98.42515695265051,202503,indicator_1,FKYZ3JbWq84,Saharanpur,Nakur,38,6.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.9799009658179941
89,y5bGR23eUwH,94.250135451457,202503,indicator_1,FKYZ3JbWq84,Saharanpur,Sadauli Qadeem,37,1.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.9266169893580367
90,qxErDQBKuLE,96.96417150276396,202503,indicator_1,FKYZ3JbWq84,Saharanpur,Ballia Kheri,41,4.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.9612550464382158
91,BHNN3R3Nfyk,100.0,202503,indicator_1,FKYZ3JbWq84,Saharanpur,Gangoh,49,7.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
92,J4lOM1HGEln,100.0,202503,indicator_1,FKYZ3JbWq84,Saharanpur,Sarsawan,47,5.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
93,oNfXWvtDaWv,100.0,202503,indicator_1,FKYZ3JbWq84,Saharanpur,Deoband,45,11.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
94,dTPUQF80iDV,100.0,202503,indicator_1,FKYZ3JbWq84,Saharanpur,Muzaffarabad,57,2.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
95,PqdYyxvXbjJ,100.0,202503,indicator_1,FKYZ3JbWq84,Saharanpur,Puwarka,43,3.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
96,ZUTLEFlviBI,94.85653235653236,202503,indicator_1,FKYZ3JbWq84,Saharanpur,Nanauta,31,9.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.934356168283508
97,TkRtB84gkNd,100.0,202503,indicator_1,FKYZ3JbWq84,Saharanpur,Nagal,39,10.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
98,oJLTrPrhs93,100.0,202503,indicator_1,FKYZ3JbWq84,Saharanpur,Saharanpur (Urban),125,,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
99,bJF2UI9uVXK,90.34193477258948,202503,indicator_1,AdiUcz9BXhx,Shamli,Kandhla,43,16.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.8767383305501634
100,hYGI5A3Mq94,100.0,202503,indicator_1,AdiUcz9BXhx,Shamli,UN,41,12.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
101,y1VjuyuoJ29,60.61989777165322,202503,indicator_1,AdiUcz9BXhx,Shamli,Kairana,32,13.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.49740894998358703
102,QgLrwudkb0M,100.0,202503,indicator_1,AdiUcz9BXhx,Shamli,Shamli,32,15.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
103,PrrfSkPnkmn,89.3330752105314,202503,indicator_1,AdiUcz9BXhx,Shamli,Thana Bhawan,37,14.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.8638626964628326
104,qVXCL4F9Nfc,100.0,202503,indicator_1,AdiUcz9BXhx,Shamli,Shamli (Urban),39,,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
105,f4VnN0yydmT,100.0,202503,indicator_1,YQNQoPjAIpV,Moradabad,Bhagatpur Tanda,45,40.0,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
106,gmAXrJ45VMf,97.63985445130768,202503,indicator_1,YQNQoPjAIpV,Moradabad,Kundarki Dingpur,62,43.0,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.9698784928837745
107,yslHqhvvXn0,100.0,202503,indicator_1,YQNQoPjAIpV,Moradabad,Dilari,48,38.0,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
108,MIhBWjsHb4j,98.83244672953995,202503,indicator_1,YQNQoPjAIpV,Moradabad,Chhajlet,45,39.0,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.9850990274035343
109,B1rNgGH3FaM,96.58031408897165,202503,indicator_1,YQNQoPjAIpV,Moradabad,Bilari,51,44.0,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.9563560418714986
110,FPqrFlrWiLm,99.85552630471554,202503,indicator_1,YQNQoPjAIpV,Moradabad,Munda Pandey,45,42.0,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.9981561453093308
111,aO4ZhXYOBeK,100.0,202503,indicator_1,YQNQoPjAIpV,Moradabad,Thakurdwara,40,37.0,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
112,WHjh3bRw6D7,100.0,202503,indicator_1,YQNQoPjAIpV,Moradabad,Moradabad (Urban),176,,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
113,ETOgxiqqzTT,99.11411774103405,202503,indicator_1,YQNQoPjAIpV,Moradabad,Moradabad,33,41.0,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.9886938715358612
