,block_id,date,indicator_id,perc_point,uid_district,district,block,0,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type
6633,hty8pfH1ySe,202503,indicator_4,0.0,tXgaew1Pd2Y,Prayagraj,Chaka,37,467.0,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6634,omKjHTDECWY,202503,indicator_4,0.0,tXgaew1Pd2Y,Prayagraj,Shankargarh,42,466.0,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6635,ooMZMhdhlnd,202503,indicator_4,0.0,tXgaew1Pd2Y,Prayagraj,Dhanupur,43,471.0,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6636,rnqodqKeG71,202503,indicator_4,0.0,tXgaew1Pd2Y,Prayagraj,Pratappur,50,470.0,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6637,snr8f1gc8vd,202503,indicator_4,0.0,tXgaew1Pd2Y,Prayagraj,Koraon,66,477.0,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6638,tqyaSDfRN87,202503,indicator_4,0.0,tXgaew1Pd2Y,Prayagraj,Bahadurpur,67,464.0,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6639,uiUVlKvhhxF,202503,indicator_4,0.0,tXgaew1Pd2Y,Prayagraj,Phulpur,47,463.0,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6640,vAlop9evcWY,202503,indicator_4,0.0,tXgaew1Pd2Y,Prayagraj,Jasra,41,465.0,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6641,xDTc9JFJJPU,202503,indicator_4,0.0,tXgaew1Pd2Y,Prayagraj,BHAGWATPUR,29,,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6642,CJnQGhWTHo0,202503,indicator_4,22.47191011235955,GaiLSoQq1ue,Shahjahanpur,Jalalabad,35,224.0,Bareilly Division,150,quality,delivery_care,indicator_4,Still birth ratio,n
6643,CzrcP2SLElb,202503,indicator_4,24.242424242424242,GaiLSoQq1ue,Shahjahanpur,Dadrol,31,220.0,Bareilly Division,150,quality,delivery_care,indicator_4,Still birth ratio,n
6644,FHp906GIA29,202503,indicator_4,0.0,GaiLSoQq1ue,Shahjahanpur,Bhawal Khera,45,221.0,Bareilly Division,150,quality,delivery_care,indicator_4,Still birth ratio,n
