,block_id,perc_point,date,indicator_id,uid_district,district,block,0,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type
6049,tv4Qque6scf,100.0,202503,indicator_10,lLvTDpBDY8u,Rae Bareli,Unchahar,29,319.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6050,qXzAAhlpnux,100.0,202503,indicator_10,lLvTDpBDY8u,Rae Bareli,Rae Bareli (Urban),14,,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6051,DPIQ2VWtvGl,99.10773066387395,202503,indicator_10,XxaOowFtkiJ,Sitapur,Ailiya,35,245.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6052,gSwqRR5qMEE,100.0,202503,indicator_10,XxaOowFtkiJ,Sitapur,Biswan,55,253.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6053,HWAP9AgN3Ym,93.73243162248717,202503,indicator_10,XxaOowFtkiJ,Sitapur,Gondlamau,38,244.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6054,nwuxQQpdi7D,100.0,202503,indicator_10,XxaOowFtkiJ,Sitapur,Hargaon,40,246.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6055,E8Ds6nIiHXM,80.43765417156857,202503,indicator_10,XxaOowFtkiJ,Sitapur,Kasmanda,38,257.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6056,ch0hBYu0VuS,88.867672116689,202503,indicator_10,XxaOowFtkiJ,Sitapur,Khairabad,39,248.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6057,tIk5hphkbm1,100.0,202503,indicator_10,XxaOowFtkiJ,Sitapur,Laharpur,36,249.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6058,eiVpF4VfZGS,80.99438657301047,202503,indicator_10,XxaOowFtkiJ,Sitapur,Machhrehta,36,243.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6059,gCv411YjGXv,100.0,202503,indicator_10,XxaOowFtkiJ,Sitapur,Mahmudabad,38,255.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6060,KEc8Ha9MyTJ,92.79085598988365,202503,indicator_10,XxaOowFtkiJ,Sitapur,Maholi,33,241.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6061,Gfmfuy8CQrI,98.65942922476742,202503,indicator_10,XxaOowFtkiJ,Sitapur,Misrikh,35,242.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6062,I2ZGoBUtTtO,94.12775145095098,202503,indicator_10,XxaOowFtkiJ,Sitapur,Pahala,36,254.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6063,qyrJ0VLceRJ,100.0,202503,indicator_10,XxaOowFtkiJ,Sitapur,Parsendi,41,247.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6064,yubhT8MSy2O,100.0,202503,indicator_10,XxaOowFtkiJ,Sitapur,Pisawan,44,240.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6065,tvZfs4DYlev,100.0,202503,indicator_10,XxaOowFtkiJ,Sitapur,Rampur Mathura,43,256.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6066,W91p7yS5r9P,100.0,202503,indicator_10,XxaOowFtkiJ,Sitapur,Reusa,52,251.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6067,zghTOXwIiKT,100.0,202503,indicator_10,XxaOowFtkiJ,Sitapur,Sakran,40,252.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6068,NAhNn2JVtnF,97.40212379775745,202503,indicator_10,XxaOowFtkiJ,Sitapur,Sidhauli,38,258.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6069,nKJmMxPaEZ9,100.0,202503,indicator_10,XxaOowFtkiJ,Sitapur,Behta,42,250.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6070,ql65TcOIaDt,100.0,202503,indicator_10,XxaOowFtkiJ,Sitapur,Sitapur (Urban),23,,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6071,CpShKssApxk,92.50620085276144,202503,indicator_10,aT03mfdlNiF,Unnav,Asoha,27,289.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6072,wk2JVEOAFPl,100.0,202503,indicator_10,aT03mfdlNiF,Unnav,Auras,30,282.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6073,BGRBILNZiPW,94.72431358689983,202503,indicator_10,aT03mfdlNiF,Unnav,Bangarmau,28,279.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6074,uhbQ7To0pN9,100.0,202503,indicator_10,aT03mfdlNiF,Unnav,Fatehpur Chaurasi,30,280.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6075,odvvm2fnyz9,100.0,202503,indicator_10,aT03mfdlNiF,Unnav,Mianganj,28,283.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6076,Fy5oqtT0JAR,100.0,202503,indicator_10,aT03mfdlNiF,Unnav,Sumerpur,29,293.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6077,RzW4W8GzuhH,96.53612017941461,202503,indicator_10,aT03mfdlNiF,Unnav,Ganj Moradabad,28,278.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6078,g9AzjVVJKJh,100.0,202503,indicator_10,aT03mfdlNiF,Unnav,Hasanganj,31,284.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6079,SvNkFaLvfio,100.0,202503,indicator_10,aT03mfdlNiF,Unnav,Bighapur,30,292.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6080,oeicJPH2lIq,92.80515648496777,202503,indicator_10,aT03mfdlNiF,Unnav,Hilauli,32,291.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6081,ziD9Ib1XELX,97.7866246000853,202503,indicator_10,aT03mfdlNiF,Unnav,Nawabganj,31,285.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6082,RLKVIOQ3q6x,100.0,202503,indicator_10,aT03mfdlNiF,Unnav,Purwa,28,290.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6083,iudStsVG8zs,100.0,202503,indicator_10,aT03mfdlNiF,Unnav,Safipur,28,281.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6084,miCbY8KENnd,90.1613143255301,202503,indicator_10,aT03mfdlNiF,Unnav,Sikandarpur Karan,33,288.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6085,EVsunDfk1Xx,100.0,202503,indicator_10,aT03mfdlNiF,Unnav,Bichhiya,31,287.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6086,CYb7f3DOpb0,100.0,202503,indicator_10,aT03mfdlNiF,Unnav,Unnao (Urban),23,,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6087,OC6qHC6pCm8,100.0,202503,indicator_10,aT03mfdlNiF,Unnav,Sikandarpur Sarausi,33,286.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6088,O3U9QEmpjTV,100.0,202503,indicator_10,ibLiLcaKzw2,Fatehpur,Khajuha,33,423.0,Prayagraj Division,172,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6089,janjc2a7UuX,83.20613834953538,202503,indicator_10,ibLiLcaKzw2,Fatehpur,Amauli,31,422.0,Prayagraj Division,172,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6090,gAuwshptXMU,84.00322393644993,202503,indicator_10,ibLiLcaKzw2,Fatehpur,Bahua,30,427.0,Prayagraj Division,172,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6091,Cge552Satby,100.0,202503,indicator_10,ibLiLcaKzw2,Fatehpur,Devmai,29,420.0,Prayagraj Division,172,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
