date,district,district_id,indicator_id,perc_point
201802,Agra,N5WWbRtsjWp,indicator_13,1.877934272
201802,Aligarh,frD2HOp3wAs,indicator_13,2.073732719
201802,Ambedkar Nagar,jM27ji8tyrM,indicator_13,1.869158879
201802,Amethi,StsLkYw1G0m,indicator_13,2.448979592
201802,Amroha,hgquAmZaNBu,indicator_13,0.966183575
201802,Auraiya,Bd6E8zkVvVt,indicator_13,2.717391304
201802,Ayodhya,b4XkXzoGqFY,indicator_13,6.005221932
201802,Azamgarh,NjckKfm3g0k,indicator_13,1.751313485
201802,Bagpat,HJIS3IrQ0Nj,indicator_13,1.19047619
201802,Bahraich,iE0E3nLioFr,indicator_13,4.761904762
201802,Ballia,oNDvGBE5fLq,indicator_13,4.5
201802,Balrampur,uS0pNSxN3sS,indicator_13,0.784313725
201802,Banda,DggJGxqbWHn,indicator_13,1.607717042
201802,Barabanki,tzH6nJu9SwS,indicator_13,2.78372591
201802,Bareilly,vVqY3DPcpHf,indicator_13,1.293103448
201802,Basti,J1P16zQEOUT,indicator_13,1.807228916
201802,Bhadohi,PeUY1vj02UQ,indicator_13,3.243243243
201802,Bijnor,uCYjHW7FuGG,indicator_13,6.133333333
201802,Budaun,eA37kyBRRuZ,indicator_13,1.955307263
201802,Bulandshahar,ogBt4gWCiem,indicator_13,2.040816327
201802,Chandauli,ClbehnmwSec,indicator_13,4.827586207
201802,Chitrakoot,i2fSZZ3QAJJ,indicator_13,
201802,Deoria,Tf9b9qcbghH,indicator_13,3.90625
201802,Etah,ZLcx4iOVyN5,indicator_13,1.895734597
201802,Etawah,Pm0jLk6EAiE,indicator_13,4.975124378
201802,Farrukhabad,uEEwlAGZXWW,indicator_13,1.401869159
201802,Fatehpur,ibLiLcaKzw2,indicator_13,1.420454545
201802,Firozabad,eJTsuE56XDF,indicator_13,4.460966543
201802,Gautam Buddha Nagar,bNmwkrQeP3e,indicator_13,0.769230769
201802,Ghaziabad,M5NHlfAaKYI,indicator_13,3.76344086
201802,Ghazipur,dScWdMRN8PL,indicator_13,3.579418345
201802,Gonda,y8WarEkWCul,indicator_13,4.312668464
201802,Gorakhpur,vR85cHdsw1w,indicator_13,3.311258278
201802,Hamirpur,VSI7HobT5qL,indicator_13,1.276595745
201802,Hapur,CZ8kLjgqvSH,indicator_13,2.234636872
201802,Hardoi,MTIkUw5q5pX,indicator_13,2.306079665
201802,Hathras,m1IAjmqkoFC,indicator_13,4.054054054
201802,Jalaun,NL5xiiHZQSC,indicator_13,1.572327044
201802,Jaunpur,gmw76vAUMqz,indicator_13,3.649635036
201802,Jhansi,Mq751wBMqGF,indicator_13,3.193612774
201802,Kannauj,IhQbDYRiF8w,indicator_13,1.818181818
201802,Kanpur Dehat,k3D0AumUCiC,indicator_13,2.573529412
201802,Kanpur Nagar,QVMRMhzVrrS,indicator_13,1.048951049
201802,Kasganj,hITp09XOBLZ,indicator_13,3.664921466
201802,Kaushambi,PAj0oVY0Dxu,indicator_13,2.487562189
201802,Kushinagar,xUeHwd9FQkg,indicator_13,7.843137255
201802,Lakhimpur Kheri,d9ZuMopgX29,indicator_13,6.739130435
201802,Lalitpur,fagfcadhxej,indicator_13,3.652968037
201802,Lucknow,MfHac5N78aK,indicator_13,3.287671233
201802,Maharajganj,AcnMkNGgc3S,indicator_13,3.943661972
201802,Mahoba,sUQMxIc3yXj,indicator_13,1.129943503
201802,Mainpuri,XBLhrSWGytu,indicator_13,1.304347826
201802,Mathura,KP2BUB1npih,indicator_13,1.831501832
201802,Maunathbhanjan,CBSB9v92AwT,indicator_13,6.177606178
201802,Meerut,v8YGmR7nOdj,indicator_13,1.126126126
201802,Mirzapur,UAicdMLyuk4,indicator_13,4.702194357
201802,Moradabad,YQNQoPjAIpV,indicator_13,5.373134328
201802,Muzaffarnagar,MVQs2RrS1Nw,indicator_13,3.170028818
201802,Pilibhit,c96jwckSd6j,indicator_13,1.244813278
201802,Pratapgarh,fz7bJo3egPX,indicator_13,4.199475066
201802,Prayagraj,tXgaew1Pd2Y,indicator_13,2.155887231
201802,Rae Bareli,lLvTDpBDY8u,indicator_13,4.134366925
201802,Rampur,IU006h5U7jj,indicator_13,1.214574899
201802,Saharanpur,FKYZ3JbWq84,indicator_13,2.702702703
201802,Sambhal,YzHpzrN0eLv,indicator_13,2.34375
