,block,composite_index,rank,month,district
2967,Siar,0.595686,822.0,Sep 2023,Ballia
2968,Rasra,0.749241,387.0,Sep 2023,Ballia
2970,Dadri,0.750948,371.0,Sep 2023,Gautam Buddha Nagar
2972,Bisrakh,0.846244,1.0,Sep 2023,Gautam Buddha Nagar
2973,Janikhurd,0.698023,618.0,Sep 2023,Meerut
2975,Rohta,0.814515,47.0,Sep 2023,Meerut
2980,Sardhana,0.743687,419.0,Sep 2023,Meerut
2986,Bagpat (Urban),0.672295,697.0,Sep 2023,Bagpat
2987,Balrampur,0.769484,263.0,Sep 2023,Balrampur
2991,Rehra Bazar,0.769495,262.0,Sep 2023,Balrampur
2995,Maheva,0.777344,215.0,Sep 2023,Jalaun
3001,Shrawasti (Urban),0.471175,877.0,Sep 2023,Shrawasti
3009,Khalilabad,0.782012,183.0,Sep 2023,Sant Kabir Nagar
3011,Pauli,0.740562,432.0,Sep 2023,Sant Kabir Nagar
3018,Jalesar,0.77566,223.0,Sep 2023,Etah
3022,Jaithara,0.794102,117.0,Sep 2023,Etah
3029,Haidargarh,0.755749,348.0,Sep 2023,Barabanki
3032,Bhetua,0.833281,5.0,Sep 2023,Amethi
3037,Gauriganj,0.755313,350.0,Sep 2023,Amethi
3038,Bahadurpur,0.818517,35.0,Sep 2023,Amethi
3048,Muzaffarnagar (Urban),0.716779,550.0,Sep 2023,Muzaffarnagar
3063,Auraiya,0.744515,417.0,Sep 2023,Auraiya
3065,Lakhimpur,0.617603,803.0,Sep 2023,Lakhimpur Kheri
3066,Mohammadi,0.733231,479.0,Sep 2023,Lakhimpur Kheri
3069,Dhaurehra,0.786788,156.0,Sep 2023,Lakhimpur Kheri
3071,Kumbhigola,0.750472,375.0,Sep 2023,Lakhimpur Kheri
3073,Gola,0.726227,515.0,Sep 2023,Gorakhpur
3076,Khorabar,0.703043,604.0,Sep 2023,Gorakhpur
3079,Khajani,0.686958,657.0,Sep 2023,Gorakhpur
3080,Bhathat,0.690932,638.0,Sep 2023,Gorakhpur
3081,Bansgaon,0.593332,826.0,Sep 2023,Gorakhpur
3091,Mithaura,0.780803,193.0,Sep 2023,Maharajganj
3094,Mahrajganj,0.750907,373.0,Sep 2023,Maharajganj
3098,Lakshmipur,0.775925,221.0,Sep 2023,Maharajganj
3100,Nautanawa,0.753208,360.0,Sep 2023,Maharajganj
3101,Partawal,0.740526,433.0,Sep 2023,Maharajganj
3107,Shamli (Urban),0.623218,799.0,Sep 2023,Shamli
3109,Pahari,0.8048,77.0,Sep 2023,Chitrakoot
3111,Barhpura,0.761721,317.0,Sep 2023,Farrukhabad
3112,Shamsabad,0.768474,274.0,Sep 2023,Farrukhabad
3115,Farrukhabad  (Urban),0.617188,804.0,Sep 2023,Farrukhabad
3116,Nawabganj,0.777566,212.0,Sep 2023,Farrukhabad
3117,Kamalganj,0.761275,320.0,Sep 2023,Farrukhabad
3118,Dahgavan,0.589546,831.0,Sep 2023,Budaun
3127,Chaumuha,0.725822,517.0,Sep 2023,Mathura
3143,Behadar,0.73439,469.0,Sep 2023,Hardoi
3159,Kairana,0.764445,302.0,Sep 2023,Shamli
3175,Thakurdwara,0.775163,225.0,Sep 2023,Moradabad
3180,Sirkoni,0.702463,608.0,Sep 2023,Jaunpur
3185,Nanauta,0.780357,197.0,Sep 2023,Saharanpur
3192,Firozabad (Urban),0.607074,815.0,Sep 2023,Firozabad
3193,Karchhana,0.769292,265.0,Sep 2023,Prayagraj
3196,Pratappur,0.784583,171.0,Sep 2023,Prayagraj
3202,Fatehpur Sikri,0.686556,659.0,Sep 2023,Agra
3208,Cholapur,0.721498,535.0,Sep 2023,Varanasi
