block,block_id,calc_type,date,district,district_id,division,domain,indicator,indicator_id,perc_point,quarter,type,year
Ramnagar,svsS1G8o1pm,p,2019-04-01,Bareilly,vVqY3DPcpHf,Bareilly Division,ANC,% ANC registered in First trimester,indicator_1,82.32265446224257,1,ANC,2020
Ramnagar,svsS1G8o1pm,p,2019-07-01,Bareilly,vVqY3DPcpHf,Bareilly Division,ANC,% ANC registered in First trimester,indicator_1,77.19118400820092,2,ANC,2020
Ramnagar,svsS1G8o1pm,p,2019-10-01,Bareilly,vVqY3DPcpHf,Bareilly Division,ANC,% ANC registered in First trimester,indicator_1,79.83193277310923,3,ANC,2020
Rampur DHQ,TfKrN4hWv8C,p,2017-10-01,Rampur,IU006h5U7jj,Moradabad Division,ANC,% ANC registered in First trimester,indicator_1,10.77422084332252,3,ANC,2018
Rampur DHQ,TfKrN4hWv8C,p,2018-01-01,Rampur,IU006h5U7jj,Moradabad Division,ANC,% ANC registered in First trimester,indicator_1,6.519122140938977,4,ANC,2018
Rampur DHQ,TfKrN4hWv8C,p,2018-04-01,Rampur,IU006h5U7jj,Moradabad Division,ANC,% ANC registered in First trimester,indicator_1,27.788884446221513,1,ANC,2019
Rampur DHQ,TfKrN4hWv8C,p,2018-07-01,Rampur,IU006h5U7jj,Moradabad Division,ANC,% ANC registered in First trimester,indicator_1,33.73708585678661,2,ANC,2019
Rampur DHQ,TfKrN4hWv8C,p,2018-10-01,Rampur,IU006h5U7jj,Moradabad Division,ANC,% ANC registered in First trimester,indicator_1,43.278688524590166,3,ANC,2019
Rampur DHQ,TfKrN4hWv8C,p,2019-01-01,Rampur,IU006h5U7jj,Moradabad Division,ANC,% ANC registered in First trimester,indicator_1,54.794520547945204,4,ANC,2019
Rampur DHQ,TfKrN4hWv8C,p,2019-04-01,Rampur,IU006h5U7jj,Moradabad Division,ANC,% ANC registered in First trimester,indicator_1,73.90070921985816,1,ANC,2020
Rampur DHQ,TfKrN4hWv8C,p,2019-07-01,Rampur,IU006h5U7jj,Moradabad Division,ANC,% ANC registered in First trimester,indicator_1,52.18978102189782,2,ANC,2020
Rampur DHQ,TfKrN4hWv8C,p,2019-10-01,Rampur,IU006h5U7jj,Moradabad Division,ANC,% ANC registered in First trimester,indicator_1,67.52054132431125,3,ANC,2020
Rae Bareli Uchahar,tv4Qque6scf,p,2017-10-01,Rae Bareli,lLvTDpBDY8u,Lucknow Division,ANC,% ANC registered in First trimester,indicator_1,21.878121878121878,3,ANC,2018
Rae Bareli Uchahar,tv4Qque6scf,p,2018-01-01,Rae Bareli,lLvTDpBDY8u,Lucknow Division,ANC,% ANC registered in First trimester,indicator_1,22.8882833787466,4,ANC,2018
Rae Bareli Uchahar,tv4Qque6scf,p,2018-04-01,Rae Bareli,lLvTDpBDY8u,Lucknow Division,ANC,% ANC registered in First trimester,indicator_1,17.951318458417852,1,ANC,2019
Rae Bareli Uchahar,tv4Qque6scf,p,2018-07-01,Rae Bareli,lLvTDpBDY8u,Lucknow Division,ANC,% ANC registered in First trimester,indicator_1,13.946117274167989,2,ANC,2019
Rae Bareli Uchahar,tv4Qque6scf,p,2018-10-01,Rae Bareli,lLvTDpBDY8u,Lucknow Division,ANC,% ANC registered in First trimester,indicator_1,16.137566137566136,3,ANC,2019
Rae Bareli Uchahar,tv4Qque6scf,p,2019-01-01,Rae Bareli,lLvTDpBDY8u,Lucknow Division,ANC,% ANC registered in First trimester,indicator_1,21.345029239766077,4,ANC,2019
Rae Bareli Uchahar,tv4Qque6scf,p,2019-04-01,Rae Bareli,lLvTDpBDY8u,Lucknow Division,ANC,% ANC registered in First trimester,indicator_1,27.295285359801486,1,ANC,2020
Rae Bareli Uchahar,tv4Qque6scf,p,2019-07-01,Rae Bareli,lLvTDpBDY8u,Lucknow Division,ANC,% ANC registered in First trimester,indicator_1,32.00354609929078,2,ANC,2020
Rae Bareli Uchahar,tv4Qque6scf,p,2019-10-01,Rae Bareli,lLvTDpBDY8u,Lucknow Division,ANC,% ANC registered in First trimester,indicator_1,26.301115241635685,3,ANC,2020
Khsrha,RtFh5dTx40I,p,2017-10-01,Siddharth Nagar,cP0p8qfm3il,Basti Division,ANC,% ANC registered in First trimester,indicator_1,54.384615384615394,3,ANC,2018
Khsrha,RtFh5dTx40I,p,2018-01-01,Siddharth Nagar,cP0p8qfm3il,Basti Division,ANC,% ANC registered in First trimester,indicator_1,62.299717247879364,4,ANC,2018
Khsrha,RtFh5dTx40I,p,2018-04-01,Siddharth Nagar,cP0p8qfm3il,Basti Division,ANC,% ANC registered in First trimester,indicator_1,63.31521739130434,1,ANC,2019
