block_name,block_id,calc_type,date,district,district_id,division,domain_name,indicator_name,indicator_id,perc_point,quarter,type_name,year,block_id_num,district_id_num
Pilibhit DHQ,Ez4mS8TGHyp,p,2023-09-01,Pilibhit,c96jwckSd6j,,JSY,% JSY Incentive,36,0.35185185185185186,2.0,JSY,2024,866,29
Dhanapur,F1Ddi7jawvX,p,2023-09-01,Chandauli,ClbehnmwSec,,JSY,% JSY Incentive,36,0.25360230547550433,2.0,JSY,2024,203,61
Nawabganj Bahraich,F2HjseXcv3G,p,2023-09-01,Bahraich,iE0E3nLioFr,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,827,23
Gajraula,F4PpXNqeUpP,p,2023-09-01,Amroha,hgquAmZaNBu,,JSY,% JSY Incentive,36,0.14407582938388624,2.0,JSY,2024,247,33
Hamirpur Nauranga,F4fL0v4ObFM,p,2023-09-01,Hamirpur,VSI7HobT5qL,,JSY,% JSY Incentive,36,0.5764705882352941,2.0,JSY,2024,234,36
Ballia Pandah,F6ojCWU9pCH,p,2023-09-01,Ballia,oNDvGBE5fLq,,JSY,% JSY Incentive,36,0.14583333333333334,2.0,JSY,2024,604,5
Mahrajganj,FBVobg8QhyC,p,2023-09-01,Jaunpur,gmw76vAUMqz,,JSY,% JSY Incentive,36,1.0,2.0,JSY,2024,320,54
Bilsi,FBjTmOT2uLU,p,2023-09-01,Budaun,eA37kyBRRuZ,,JSY,% JSY Incentive,36,1.0117647058823531,2.0,JSY,2024,838,58
Gautam Buddha Nagar Dankaur,FGqvmr1orP5,p,2023-09-01,Gautam Buddha Nagar,bNmwkrQeP3e,,JSY,% JSY Incentive,36,0.8702290076335878,2.0,JSY,2024,685,35
Bhawalkheda,FHp906GIA29,p,2023-09-01,Shahjahanpur,GaiLSoQq1ue,,JSY,% JSY Incentive,36,0.5032679738562091,2.0,JSY,2024,17,28
Puwaya,FJZd1VoPnSp,p,2023-09-01,Shahjahanpur,GaiLSoQq1ue,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,764,28
Nawabganj Gonda,FMAaW4X6ueM,p,2023-09-01,Gonda,y8WarEkWCul,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,716,2
Mundapanday,FPqrFlrWiLm,p,2023-09-01,Moradabad,YQNQoPjAIpV,,JSY,% JSY Incentive,36,0.9542857142857144,2.0,JSY,2024,84,51
Meerut MEERUT,FX5OPO64IaR,p,2023-09-01,Meerut,v8YGmR7nOdj,,JSY,% JSY Incentive,36,0.64,2.0,JSY,2024,367,30
Pilana,FXgVpTS1KKY,p,2023-09-01,Bagpat,HJIS3IrQ0Nj,,JSY,% JSY Incentive,36,0.6856287425149701,2.0,JSY,2024,182,66
Bulandshahar Gulaothi,FXjd8I3tis1,p,2023-09-01,Bulandshahar,ogBt4gWCiem,,JSY,% JSY Incentive,36,0.1263537906137184,2.0,JSY,2024,410,52
