block_name,block_id,calc_type,date,district,district_id,division,domain_name,indicator_name,indicator_id,perc_point,quarter,type_name,year,block_id_num,district_id_num
C S M Nagar Sangrampur,KwM7Z0rplba,p,2023-07-01,Amethi,StsLkYw1G0m,,JSY,% JSY Incentive,36,0.9823529411764704,2,JSY,2024,766,75
Behedi,fO0hzktt79F,p,2023-07-01,Bareilly,vVqY3DPcpHf,,JSY,% JSY Incentive,36,0.0,2,JSY,2024,140,56
Patti,QGFqwtIZDnf,p,2023-07-01,Pratapgarh,fz7bJo3egPX,,JSY,% JSY Incentive,36,0.5289169295478444,2,JSY,2024,580,3
Unnav Auras,wk2JVEOAFPl,p,2023-07-01,Unnav,aT03mfdlNiF,,JSY,% JSY Incentive,36,0.0,2,JSY,2024,855,7
Baldirai,VPN370bubCz,p,2023-07-01,Sultanpur,o4ZQTVcMI7U,,JSY,% JSY Incentive,36,0.8817891373801917,2,JSY,2024,299,40
Risia,wgoGe5KFMCX,p,2023-07-01,Bahraich,iE0E3nLioFr,,JSY,% JSY Incentive,36,0.0,2,JSY,2024,76,23
Saharanpur Sarsawa,J4lOM1HGEln,p,2023-07-01,Saharanpur,FKYZ3JbWq84,,JSY,% JSY Incentive,36,0.8199566160520607,2,JSY,2024,374,31
Agra Shashambad,CSr734nIeVU,p,2023-07-01,Agra,N5WWbRtsjWp,,JSY,% JSY Incentive,36,0.9873949579831932,2,JSY,2024,249,12
Barkhani,pkRX2naWpN3,p,2023-07-01,Hardoi,MTIkUw5q5pX,,JSY,% JSY Incentive,36,0.0,2,JSY,2024,305,64
Maunathbhanjan F.Mandaon,YXOk9K2OqNI,p,2023-07-01,Maunathbhanjan,CBSB9v92AwT,,JSY,% JSY Incentive,36,0.05200945626477541,2,JSY,2024,459,6
Mitoli,Owih8es2MY7,p,2023-07-01,Lakhimpur Kheri,d9ZuMopgX29,,JSY,% JSY Incentive,36,0.7047279214986619,2,JSY,2024,222,22
Azamgarh Jahanaganj,O2VQy7yy72b,p,2023-07-01,Azamgarh,NjckKfm3g0k,,JSY,% JSY Incentive,36,0.21649484536082475,2,JSY,2024,268,14
Dadroul,CzrcP2SLElb,p,2023-07-01,Shahjahanpur,GaiLSoQq1ue,,JSY,% JSY Incentive,36,0.8152610441767069,2,JSY,2024,502,28
Mathura Faraha,txI2jZXppyQ,p,2023-07-01,Mathura,KP2BUB1npih,,JSY,% JSY Incentive,36,0.8461538461538461,2,JSY,2024,633,24
