block_name,block_id,calc_type,date,district,district_id,division,domain_name,indicator_name,indicator_id,perc_point,type_name,year,block_id_num,district_id_num
Milak,TLMPAZhmOLv,p,2023-04-01,Rampur,IU006h5U7jj,Moradabad Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,76.81874814595075,coverage,2024.0,362,26
Milak,TLMPAZhmOLv,p,2023-04-01,Rampur,IU006h5U7jj,Moradabad Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,80.33556376710277,coverage,2024.0,362,26
Rampur DHQ,TfKrN4hWv8C,p,2023-04-01,Rampur,IU006h5U7jj,Moradabad Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,56.939276099312,coverage,2024.0,673,26
Rampur DHQ,TfKrN4hWv8C,p,2023-04-01,Rampur,IU006h5U7jj,Moradabad Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,100.0,coverage,2024.0,673,26
Swar,nwSfqFHkPxa,p,2023-04-01,Rampur,IU006h5U7jj,Moradabad Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,55.53198127925118,coverage,2024.0,195,26
Swar,nwSfqFHkPxa,p,2023-04-01,Rampur,IU006h5U7jj,Moradabad Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,63.393419891592075,coverage,2024.0,195,26
Chamraua,zph89qUJBah,p,2023-04-01,Rampur,IU006h5U7jj,Moradabad Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,50.631416981396,coverage,2024.0,22,26
Chamraua,zph89qUJBah,p,2023-04-01,Rampur,IU006h5U7jj,Moradabad Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,94.17914665159651,coverage,2024.0,22,26
BKTalabe,ApSm0CuGVfL,p,2023-04-01,Lucknow,MfHac5N78aK,Lucknow Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,100.0,coverage,2024.0,501,53
BKTalabe,ApSm0CuGVfL,p,2023-04-01,Lucknow,MfHac5N78aK,Lucknow Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,100.0,coverage,2024.0,501,53
Lucknow DHQ,NyYp5W4XZfR,p,2023-04-01,Lucknow,MfHac5N78aK,Lucknow Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,89.84752012301321,coverage,2024.0,228,53
Lucknow DHQ,NyYp5W4XZfR,p,2023-04-01,Lucknow,MfHac5N78aK,Lucknow Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,100.0,coverage,2024.0,228,53
Mohanlalganj,VKvevXLweem,p,2023-04-01,Lucknow,MfHac5N78aK,Lucknow Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,88.4639718804921,coverage,2024.0,215,53
Mohanlalganj,VKvevXLweem,p,2023-04-01,Lucknow,MfHac5N78aK,Lucknow Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,79.37522186723464,coverage,2024.0,215,53
Chinhat,aKYlZcPC3HU,p,2023-04-01,Lucknow,MfHac5N78aK,Lucknow Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,73.07401261201461,coverage,2024.0,442,53
Chinhat,aKYlZcPC3HU,p,2023-04-01,Lucknow,MfHac5N78aK,Lucknow Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,100.0,coverage,2024.0,442,53
Malihabad,c8dGu0p6B0M,p,2023-04-01,Lucknow,MfHac5N78aK,Lucknow Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,89.11070110701107,coverage,2024.0,304,53
Malihabad,c8dGu0p6B0M,p,2023-04-01,Lucknow,MfHac5N78aK,Lucknow Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,85.81411600279525,coverage,2024.0,304,53
