date,district,district_id,subindicator_id,value,quarter,year,sub_id,calc_type,division,div_map_id,map_id,indicator_id
2023-09-01,Bahraich,iE0E3nLioFr,dwGorjVGkD9,26.2,2,2024,35a,p,Gonda Division,182,180,indicator_35
2023-09-01,Bahraich,iE0E3nLioFr,m7ggqyMXhyL,88.8,2,2024,37a,p,Gonda Division,182,180,indicator_37
2023-09-01,Bahraich,iE0E3nLioFr,indicator_2a,8295.0,2,2024,2a,p,Gonda Division,182,180,indicator_2
2023-09-01,Bahraich,iE0E3nLioFr,GJKYhq2wR9L,11719.0,2,2024,7a,p,Gonda Division,182,180,indicator_7
2023-09-01,Bahraich,iE0E3nLioFr,B2A7x36qEry.Ti9FJqkSK6J,6066.0,2,2024,10a,p,Gonda Division,182,180,indicator_10
2023-09-01,Bahraich,iE0E3nLioFr,GXgfTS67qxe.Ti9FJqkSK6J,671.0,2,2024,10b,p,Gonda Division,182,180,indicator_10
2023-09-01,Bhadohi,PeUY1vj02UQ,ixBYYYjxXPP,804.0,2,2024,36a,p,Mirzapur Division,200,198,indicator_36
2023-09-01,Bhadohi,PeUY1vj02UQ,aRueVYr35yM.Ti9FJqkSK6J,2580.0,2,2024,36b,p,Mirzapur Division,200,198,indicator_36
2023-09-01,Bhadohi,PeUY1vj02UQ,dwGorjVGkD9,19.2,2,2024,35a,p,Mirzapur Division,200,198,indicator_35
2023-09-01,Bhadohi,PeUY1vj02UQ,m7ggqyMXhyL,91.7,2,2024,37a,p,Mirzapur Division,200,198,indicator_37
2023-09-01,Bhadohi,PeUY1vj02UQ,indicator_2a,1900.0,2,2024,2a,p,Mirzapur Division,200,198,indicator_2
2023-09-01,Bhadohi,PeUY1vj02UQ,GJKYhq2wR9L,3125.0,2,2024,7a,p,Mirzapur Division,200,198,indicator_7
2023-09-01,Bhadohi,PeUY1vj02UQ,B2A7x36qEry.Ti9FJqkSK6J,1750.0,2,2024,10a,p,Mirzapur Division,200,198,indicator_10
2023-09-01,Bhadohi,PeUY1vj02UQ,GXgfTS67qxe.Ti9FJqkSK6J,217.0,2,2024,10b,p,Mirzapur Division,200,198,indicator_10
2023-09-01,Amroha,hgquAmZaNBu,ixBYYYjxXPP,831.0,2,2024,36a,p,Moradabad Division,134,137,indicator_36
2023-09-01,Amroha,hgquAmZaNBu,aRueVYr35yM.Ti9FJqkSK6J,4742.0,2,2024,36b,p,Moradabad Division,134,137,indicator_36
2023-09-01,Amroha,hgquAmZaNBu,dwGorjVGkD9,23.8,2,2024,35a,p,Moradabad Division,134,137,indicator_35
2023-09-01,Amroha,hgquAmZaNBu,m7ggqyMXhyL,87.9,2,2024,37a,p,Moradabad Division,134,137,indicator_37
2023-09-01,Amroha,hgquAmZaNBu,indicator_2a,1722.0,2,2024,2a,p,Moradabad Division,134,137,indicator_2
2023-09-01,Amroha,hgquAmZaNBu,GJKYhq2wR9L,6284.0,2,2024,7a,p,Moradabad Division,134,137,indicator_7
2023-09-01,Amroha,hgquAmZaNBu,B2A7x36qEry.Ti9FJqkSK6J,2503.0,2,2024,10a,p,Moradabad Division,134,137,indicator_10
2023-09-01,Amroha,hgquAmZaNBu,GXgfTS67qxe.Ti9FJqkSK6J,275.0,2,2024,10b,p,Moradabad Division,134,137,indicator_10
2023-09-01,Agra,N5WWbRtsjWp,ixBYYYjxXPP,3431.0,2,2024,36a,p,Agra Division,146,146,indicator_36
2023-09-01,Agra,N5WWbRtsjWp,aRueVYr35yM.Ti9FJqkSK6J,10489.0,2,2024,36b,p,Agra Division,146,146,indicator_36
