block_id,perc_point,indicator_id,district_id,district,block,division,type,domain,indicator,calc_type,year,quarter,date
gDpxx6NrC99,,indicator_5,tzH6nJu9SwS,Barabanki,Trivadi Ganj,Ayodhya Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
oqobaBlkco3,,indicator_5,vR85cHdsw1w,Gorakhpur,Bansgaon,Gorakhpur Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
qoqWCWNVx1j,,indicator_5,d9ZuMopgX29,Lakhimpur Kheri,Behjam,Lucknow Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
rgR8kKaylIH,,indicator_5,eJTsuE56XDF,Firozabad,Firozabad Shikohabad,Agra Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
loZ8Meaktfa,,indicator_5,fz7bJo3egPX,Pratapgarh,Laxmanpur,Prayagraj Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
gmAXrJ45VMf,,indicator_5,YQNQoPjAIpV,Moradabad,Kunderki,Moradabad Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
UbmM3fTe8D0,,indicator_5,d9ZuMopgX29,Lakhimpur Kheri,Nakha,Lucknow Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
GfFQEUX1ZYy,,indicator_5,sUQMxIc3yXj,Mahoba,Kabari,Chitrakoot Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
Mohx3LmGLM5,,indicator_5,vR85cHdsw1w,Gorakhpur,Uruwa Gorakhpur,Gorakhpur Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
qnglbY5alFS,,indicator_5,MfHac5N78aK,Lucknow,Gosaiganj,Lucknow Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
BFS0IOjIJM6,,indicator_5,ogBt4gWCiem,Bulandshahar,Bulandshahar Pahasu,Meerut Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
deLO0JKgzP6,,indicator_5,d9ZuMopgX29,Lakhimpur Kheri,Phardhan,Lucknow Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
HWAP9AgN3Ym,,indicator_5,XxaOowFtkiJ,Sitapur,Gondlamau,Lucknow Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
