calc_type,category,date,district,district_id,div_map_id,division,domain,indicator,indicator_id,map_id,perc_point,type,weight,year
p,Outcome Indicator ,2018-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,communicable_diseases,Communicable disease,indicator_7,161,35.58329157746094,communicable_diseases,5.0,2019
p,Outcome Indicator ,2019-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,communicable_diseases,Communicable disease,indicator_7,161,92.5055467511886,communicable_diseases,5.0,2020
p,Process Indicator ,2017-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,CDR,Child Death Reported (U5) ,indicator_10,161,0.0,CDR,3.0,2018
p,Process Indicator ,2018-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,CDR,Child Death Reported (U5) ,indicator_10,161,0.0,CDR,3.0,2019
p,Process Indicator ,2019-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,CDR,Child Death Reported (U5) ,indicator_10,161,0.029920710118186807,CDR,3.0,2020
p,Process Indicator ,2017-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,RCH Portal ,Mother Registeration RCH ,indicator_17,161,0.0,RCH Portal ,3.0,2018
p,Process Indicator ,2018-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,RCH Portal ,Mother Registeration RCH ,indicator_17,161,0.0,RCH Portal ,3.0,2019
p,Process Indicator ,2019-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,RCH Portal ,Mother Registeration RCH ,indicator_17,161,33.48597855410216,RCH Portal ,3.0,2020
p,Outcome Indicator ,2017-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,Birth Registration ,Birth registeration CRS ,indicator_19,161,0.0,Birth Registration ,5.0,2018
p,Outcome Indicator ,2018-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,Birth Registration ,Birth registeration CRS ,indicator_19,161,0.0,Birth Registration ,5.0,2019
p,Outcome Indicator ,2019-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,Birth Registration ,Birth registeration CRS ,indicator_19,161,0.0,Birth Registration ,5.0,2020
p,Outcome Indicator ,2019-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,Institutional delivery ,Institutional delivery (private) ,indicator_4,161,100.0,Institutional delivery ,2.0,2020
p,Outcome Indicator ,2019-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,communicable_diseases,Success rate of positive tuberculosis cases,indicator_8,161,100.0,communicable_diseases,5.0,2020
