block_name,block_id,calc_type,composite_index,composite_rank,count,date,district,district_id,div_map_id,division,domain_name,domain_index,domain_rank,indicator_name,indicator_id,indicator_ids,indicator_index,indicator_rank,map_id,perc_point,type_name,type_index,type_rank,year,block_id_num
Sakaldiha,J2ufTjaikuE,n,0.7652970888840578,328.0,50,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,delivery_care,0.8764512565751641,381.0,Still birth ratio,4,indicator_4,0.8660336844930552,582.0,766.0,7.750117426021607,quality,0.6838654599589279,619.0,2025,808
Sakaldiha,J2ufTjaikuE,n,0.7652970888840578,328.0,50,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,delivery_care,0.8764512565751641,381.0,Est Delivery load as per available Delivery Point,131,indicator_13,0.9517826040956922,674.0,766.0,402.54576360000004,availability,0.8142432220726906,269.0,2025,808
Sakaldiha,J2ufTjaikuE,n,0.7652970888840578,328.0,50,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,delivery_care,0.8764512565751641,381.0,Est Delivery load as per available SBA trained staff Nurse / ANM,141,indicator_14,0.9886059267601222,657.0,766.0,116.67993147826088,availability,0.8142432220726906,269.0,2025,808
Sakaldiha,J2ufTjaikuE,p,0.7652970888840578,328.0,50,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,post_natal_care,1.0,1.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),5,indicator_5,1.0,1.0,766.0,100.0,coverage,0.6538703739238642,337.0,2025,808
Sakaldiha,J2ufTjaikuE,p,0.7652970888840578,328.0,50,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,immunization,0.5710875900628981,534.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,indicator_7,0.9566124847420676,182.0,766.0,95.7948225643284,coverage,0.6538703739238642,337.0,2025,808
Sakaldiha,J2ufTjaikuE,p,0.7652970888840578,328.0,50,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,immunization,0.5710875900628981,534.0,Ratio of Pentavalent 3 to BCG,6,indicator_6,0.18556269538372866,691.0,766.0,0.9367864439370268,quality,0.6838654599589279,619.0,2025,808
Sakaldiha,J2ufTjaikuE,p,0.7652970888840578,328.0,50,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,communicable_diseases,1.0,1.0,% of PW screened for HIV against estimated pregnancy,11,indicator_10,1.0,1.0,766.0,100.0,coverage,0.6538703739238642,337.0,2025,808
Sakaldiha,J2ufTjaikuE,p,0.7652970888840578,328.0,50,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,family_planning,0.09728103338143797,453.0,Permanent Method accepted per 1000 EC,8,indicator_8,0.11583934939891438,95.0,766.0,21.402412607096966,coverage,0.6538703739238642,337.0,2025,808
Sakaldiha,J2ufTjaikuE,p,0.7652970888840578,328.0,50,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,family_planning,0.09728103338143797,453.0,Reversible Method accepted per 1000 EC,9,indicator_9,0.07872271736396155,793.0,766.0,40.26776110575386,coverage,0.6538703739238642,337.0,2025,808
Sakaldiha,J2ufTjaikuE,p,0.7652970888840578,328.0,50,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,finance,0.3804056289341828,58.0,Per ASHA expenditure of ASHA incentive fund,12,indicator_11,0.3804056289341828,58.0,766.0,4802.931003094847,coverage,0.6538703739238642,337.0,2025,808
Chandauli (Urban),kqqVceYxMn2,p,0.6549741972264451,838.0,29,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,ante_natal,1.0,1.0,% of pregnant women received 4 or more ANC against estimated PW,1,indicator_1,1.0,1.0,,100.0,coverage,0.4902172742349314,875.0,2025,792
Chandauli (Urban),kqqVceYxMn2,p,0.6549741972264451,838.0,29,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,ante_natal,1.0,1.0,% of pregnant women tested for Hb for 4 or more times against estimated PW,22,indicator_2,1.0,1.0,,100.0,quality,0.6695224994604175,700.0,2025,792
Chandauli (Urban),kqqVceYxMn2,p,0.6549741972264451,838.0,29,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,delivery_care,0.9689769898342808,24.0,% of pregnant women delivered in institution against estimated delivery,2,indicator_3,0.9781165952144524,11.0,,98.01150945907688,coverage,0.4902172742349314,875.0,2025,792
Chandauli (Urban),kqqVceYxMn2,n,0.6549741972264451,838.0,29,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,delivery_care,0.9689769898342808,24.0,Still birth ratio,4,indicator_4,0.9212441569199818,424.0,,4.556123153389478,quality,0.6695224994604175,700.0,2025,792
Chandauli (Urban),kqqVceYxMn2,n,0.6549741972264451,838.0,29,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,delivery_care,0.9689769898342808,24.0,Est Delivery load as per available Delivery Point,131,indicator_13,0.9872960391269198,50.0,,127.64133631578943,availability,0.6588490690675628,830.0,2025,792
Chandauli (Urban),kqqVceYxMn2,n,0.6549741972264451,838.0,29,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,delivery_care,0.9689769898342808,24.0,Est Delivery load as per available SBA trained staff Nurse / ANM,141,indicator_14,0.9892511680757688,638.0,,110.23569954545452,availability,0.6588490690675628,830.0,2025,792
Chandauli (Urban),kqqVceYxMn2,p,0.6549741972264451,838.0,29,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,post_natal_care,0.09926825900869804,213.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),5,indicator_5,0.09926825900869804,213.0,,9.926825900869805,coverage,0.4902172742349314,875.0,2025,792
Chandauli (Urban),kqqVceYxMn2,p,0.6549741972264451,838.0,29,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,immunization,0.3738961718954145,884.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,indicator_7,0.6604690023295584,637.0,,67.09219042328628,coverage,0.4902172742349314,875.0,2025,792
Chandauli (Urban),kqqVceYxMn2,p,0.6549741972264451,838.0,29,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,immunization,0.3738961718954145,884.0,Ratio of Pentavalent 3 to BCG,6,indicator_6,0.08732334146127058,870.0,,0.4558890061830795,quality,0.6695224994604175,700.0,2025,792
Chandauli (Urban),kqqVceYxMn2,p,0.6549741972264451,838.0,29,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,communicable_diseases,0.7131624408807886,278.0,% of PW screened for HIV against estimated pregnancy,11,indicator_10,0.7131624408807886,278.0,,75.66670100542979,coverage,0.4902172742349314,875.0,2025,792
Chandauli (Urban),kqqVceYxMn2,p,0.6549741972264451,838.0,29,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,family_planning,0.045158133755885614,834.0,Permanent Method accepted per 1000 EC,8,indicator_8,0.051933156149244535,353.0,,9.595140525757676,coverage,0.4902172742349314,875.0,2025,792
Chandauli (Urban),kqqVceYxMn2,p,0.6549741972264451,838.0,29,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,family_planning,0.045158133755885614,834.0,Reversible Method accepted per 1000 EC,9,indicator_9,0.03838311136252668,881.0,,19.718013780432024,coverage,0.4902172742349314,875.0,2025,792
Chandauli (Urban),kqqVceYxMn2,p,0.6549741972264451,838.0,29,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,finance,0.3804056289341828,58.0,Per ASHA expenditure of ASHA incentive fund,12,indicator_11,0.3804056289341828,58.0,,4802.931003094847,coverage,0.4902172742349314,875.0,2025,792
Barhani,kneJKc3fNtp,p,0.7603763912810847,408.0,49,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,ante_natal,0.9414502351990391,174.0,% of pregnant women received 4 or more ANC against estimated PW,1,indicator_1,0.9420238038130848,160.0,769.0,95.45732353853724,coverage,0.6615633029037663,288.0,2025,837
Barhani,kneJKc3fNtp,p,0.7603763912810847,408.0,49,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,ante_natal,0.9414502351990391,174.0,% of pregnant women tested for Hb for 4 or more times against estimated PW,22,indicator_2,0.9408766665849934,163.0,769.0,95.39938282622249,quality,0.6627915226587259,733.0,2025,837
Barhani,kneJKc3fNtp,p,0.7603763912810847,408.0,49,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,delivery_care,0.8897064170552534,282.0,% of pregnant women delivered in institution against estimated delivery,2,indicator_3,0.7265580609179731,163.0,769.0,75.15301139448913,coverage,0.6615633029037663,288.0,2025,837
Barhani,kneJKc3fNtp,n,0.7603763912810847,408.0,49,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,delivery_care,0.8897064170552534,282.0,Still birth ratio,4,indicator_4,0.8525612906370328,613.0,769.0,8.5295121119072,quality,0.6627915226587259,733.0,2025,837
