block,block_id,calc_type,date,district,district_id,indicator_id,map_id,quarter,sub_id,subindicator_id,value,year
Maunathbhanjan F.Mandaon,YXOk9K2OqNI,p,2023-01-01,Maunathbhanjan,CBSB9v92AwT,indicator_36,704.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,173.0,2023
Maunathbhanjan F.Mandaon,YXOk9K2OqNI,p,2023-01-01,Maunathbhanjan,CBSB9v92AwT,indicator_36,704.0,4,36a,ixBYYYjxXPP,0.0,2023
Maunathbhanjan Ghosi,d3k76C0y5y9,p,2023-01-01,Maunathbhanjan,CBSB9v92AwT,indicator_36,702.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,167.0,2023
Maunathbhanjan Ghosi,d3k76C0y5y9,p,2023-01-01,Maunathbhanjan,CBSB9v92AwT,indicator_36,702.0,4,36a,ixBYYYjxXPP,0.0,2023
Maunathbhanjan Pardha,la9bHITzK55,p,2023-01-01,Maunathbhanjan,CBSB9v92AwT,indicator_36,706.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,147.0,2023
Maunathbhanjan Pardha,la9bHITzK55,p,2023-01-01,Maunathbhanjan,CBSB9v92AwT,indicator_36,706.0,4,36a,ixBYYYjxXPP,0.0,2023
Maunathbhanjan Mohmmada Bad,rLdutISw29n,p,2023-01-01,Maunathbhanjan,CBSB9v92AwT,indicator_36,708.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,189.0,2023
Maunathbhanjan Mohmmada Bad,rLdutISw29n,p,2023-01-01,Maunathbhanjan,CBSB9v92AwT,indicator_36,708.0,4,36a,ixBYYYjxXPP,0.0,2023
Maunathbhanjan Ranipur,s9bnhPCNlnj,p,2023-01-01,Maunathbhanjan,CBSB9v92AwT,indicator_36,709.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,168.0,2023
Maunathbhanjan Ranipur,s9bnhPCNlnj,p,2023-01-01,Maunathbhanjan,CBSB9v92AwT,indicator_36,709.0,4,36a,ixBYYYjxXPP,153.0,2023
Maunathbhanjan Kopaganj,tGyBIzhjmij,p,2023-01-01,Maunathbhanjan,CBSB9v92AwT,indicator_36,705.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,250.0,2023
Maunathbhanjan Kopaganj,tGyBIzhjmij,p,2023-01-01,Maunathbhanjan,CBSB9v92AwT,indicator_36,705.0,4,36a,ixBYYYjxXPP,0.0,2023
Maunathbhanjan Ratanpura,u9ZAWcpGHu9,p,2023-01-01,Maunathbhanjan,CBSB9v92AwT,indicator_36,707.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,108.0,2023
Maunathbhanjan Ratanpura,u9ZAWcpGHu9,p,2023-01-01,Maunathbhanjan,CBSB9v92AwT,indicator_36,707.0,4,36a,ixBYYYjxXPP,190.0,2023
Maunathbhanjan Doharighat,y2tYqTLUS24,p,2023-01-01,Maunathbhanjan,CBSB9v92AwT,indicator_36,701.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,166.0,2023
Maunathbhanjan Doharighat,y2tYqTLUS24,p,2023-01-01,Maunathbhanjan,CBSB9v92AwT,indicator_36,701.0,4,36a,ixBYYYjxXPP,0.0,2023
Sambhal DHQ,E3NqDNq6JJg,p,2023-01-01,Sambhal,YzHpzrN0eLv,indicator_36,,4,36b,aRueVYr35yM.Ti9FJqkSK6J,333.0,2023
Naroli,SedCcdeSesp,p,2023-01-01,Sambhal,YzHpzrN0eLv,indicator_36,,4,36b,aRueVYr35yM.Ti9FJqkSK6J,572.0,2023
Naroli,SedCcdeSesp,p,2023-01-01,Sambhal,YzHpzrN0eLv,indicator_36,,4,36a,ixBYYYjxXPP,337.0,2023
Gunnour,WtDIWivefft,p,2023-01-01,Sambhal,YzHpzrN0eLv,indicator_36,171.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,337.0,2023
Gunnour,WtDIWivefft,p,2023-01-01,Sambhal,YzHpzrN0eLv,indicator_36,171.0,4,36a,ixBYYYjxXPP,270.0,2023
Sambhal,XW2FOqHQemu,p,2023-01-01,Sambhal,YzHpzrN0eLv,indicator_36,47.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,582.0,2023
Sambhal,XW2FOqHQemu,p,2023-01-01,Sambhal,YzHpzrN0eLv,indicator_36,47.0,4,36a,ixBYYYjxXPP,175.0,2023
Asmoli,Xkw9hBGJS6I,p,2023-01-01,Sambhal,YzHpzrN0eLv,indicator_36,46.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,75.0,2023
Asmoli,Xkw9hBGJS6I,p,2023-01-01,Sambhal,YzHpzrN0eLv,indicator_36,46.0,4,36a,ixBYYYjxXPP,0.0,2023
Rajpura,YxWlmBfIHmq,p,2023-01-01,Sambhal,YzHpzrN0eLv,indicator_36,170.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,293.0,2023
Rajpura,YxWlmBfIHmq,p,2023-01-01,Sambhal,YzHpzrN0eLv,indicator_36,170.0,4,36a,ixBYYYjxXPP,175.0,2023
Pawansa,f6vmbanfxRo,p,2023-01-01,Sambhal,YzHpzrN0eLv,indicator_36,48.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,136.0,2023
Junawai,gspBjXC9nc5,p,2023-01-01,Sambhal,YzHpzrN0eLv,indicator_36,172.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,252.0,2023
Junawai,gspBjXC9nc5,p,2023-01-01,Sambhal,YzHpzrN0eLv,indicator_36,172.0,4,36a,ixBYYYjxXPP,245.0,2023
Bahjoi,uqiwsVkCjJB,p,2023-01-01,Sambhal,YzHpzrN0eLv,indicator_36,49.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,299.0,2023
Bahjoi,uqiwsVkCjJB,p,2023-01-01,Sambhal,YzHpzrN0eLv,indicator_36,49.0,4,36a,ixBYYYjxXPP,269.0,2023
