calc_type,date,district,district_id,div_map_id,division,indicator_id,map_id,quarter,sub_id,subindicator_id,value,year
p,2023-01-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,indicator_37,195,4,37a,m7ggqyMXhyL,83.8,2023
p,2023-01-01,Kanpur Dehat,k3D0AumUCiC,161,Kanpur Nagar Division,indicator_36,163,4,36a,ixBYYYjxXPP,1499.0,2023
p,2023-01-01,Kanpur Dehat,k3D0AumUCiC,161,Kanpur Nagar Division,indicator_36,163,4,36b,aRueVYr35yM.Ti9FJqkSK6J,2110.0,2023
p,2023-01-01,Kanpur Dehat,k3D0AumUCiC,161,Kanpur Nagar Division,indicator_35,163,4,35a,dwGorjVGkD9,32.3,2023
p,2023-01-01,Kanpur Dehat,k3D0AumUCiC,161,Kanpur Nagar Division,indicator_37,163,4,37a,m7ggqyMXhyL,86.9,2023
p,2023-01-01,Rae Bareli,lLvTDpBDY8u,155,Lucknow Division,indicator_36,158,4,36a,ixBYYYjxXPP,3285.0,2023
p,2023-01-01,Rae Bareli,lLvTDpBDY8u,155,Lucknow Division,indicator_36,158,4,36b,aRueVYr35yM.Ti9FJqkSK6J,3795.0,2023
p,2023-01-01,Rae Bareli,lLvTDpBDY8u,155,Lucknow Division,indicator_35,158,4,35a,dwGorjVGkD9,32.4,2023
p,2023-01-01,Rae Bareli,lLvTDpBDY8u,155,Lucknow Division,indicator_37,158,4,37a,m7ggqyMXhyL,87.1,2023
p,2023-01-01,Sitapur,XxaOowFtkiJ,155,Lucknow Division,indicator_36,154,4,36a,ixBYYYjxXPP,4632.0,2023
p,2023-01-01,Sitapur,XxaOowFtkiJ,155,Lucknow Division,indicator_36,154,4,36b,aRueVYr35yM.Ti9FJqkSK6J,6116.0,2023
p,2023-01-01,Sitapur,XxaOowFtkiJ,155,Lucknow Division,indicator_35,154,4,35a,dwGorjVGkD9,24.9,2023
p,2023-01-01,Sitapur,XxaOowFtkiJ,155,Lucknow Division,indicator_37,154,4,37a,m7ggqyMXhyL,84.9,2023
p,2023-01-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,indicator_36,174,4,36a,ixBYYYjxXPP,1084.0,2023
p,2023-01-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,indicator_36,174,4,36b,aRueVYr35yM.Ti9FJqkSK6J,2418.0,2023
p,2023-01-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,indicator_35,174,4,35a,dwGorjVGkD9,30.6,2023
p,2023-01-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,indicator_37,174,4,37a,m7ggqyMXhyL,90.2,2023
p,2023-01-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,indicator_36,161,4,36a,ixBYYYjxXPP,1651.0,2023
p,2023-01-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,indicator_36,161,4,36b,aRueVYr35yM.Ti9FJqkSK6J,2479.0,2023
p,2023-01-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,indicator_35,161,4,35a,dwGorjVGkD9,33.1,2023
p,2023-01-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,indicator_37,161,4,37a,m7ggqyMXhyL,81.8,2023
p,2023-01-01,Deoria,Tf9b9qcbghH,188,Gorakhpur Division,indicator_36,190,4,36a,ixBYYYjxXPP,2679.0,2023
p,2023-01-01,Deoria,Tf9b9qcbghH,188,Gorakhpur Division,indicator_36,190,4,36b,aRueVYr35yM.Ti9FJqkSK6J,5623.0,2023
p,2023-01-01,Deoria,Tf9b9qcbghH,188,Gorakhpur Division,indicator_35,190,4,35a,dwGorjVGkD9,28.7,2023
p,2023-01-01,Deoria,Tf9b9qcbghH,188,Gorakhpur Division,indicator_37,190,4,37a,m7ggqyMXhyL,82.3,2023
p,2023-01-01,Mainpuri,XBLhrSWGytu,146,Agra Division,indicator_36,148,4,36a,ixBYYYjxXPP,1742.0,2023
p,2023-01-01,Mainpuri,XBLhrSWGytu,146,Agra Division,indicator_36,148,4,36b,aRueVYr35yM.Ti9FJqkSK6J,2148.0,2023
p,2023-01-01,Mainpuri,XBLhrSWGytu,146,Agra Division,indicator_35,148,4,35a,dwGorjVGkD9,31.4,2023
p,2023-01-01,Mainpuri,XBLhrSWGytu,146,Agra Division,indicator_37,148,4,37a,m7ggqyMXhyL,80.9,2023
p,2023-01-01,Saharanpur,FKYZ3JbWq84,132,Saharanpur Division,indicator_36,132,4,36a,ixBYYYjxXPP,1192.0,2023
